2. AOA;Eastern&South Africa Region ESAR;South Africa;ZA10;Nestle (South Africa) (Proprietary) Limited;0175;ZA PL Clayville (Ice Cream)
2. AOA;Eastern&South Africa Region ESAR;South Africa;ZA10;Nestle (South Africa) (Proprietary) Limited;0177;ZA PL East London
2. AOA;Eastern&South Africa Region ESAR;South Africa;ZA10;Nestle (South Africa) (Proprietary) Limited;0178;ZA PL Estcourt
2. AOA;Eastern&South Africa Region ESAR;South Africa;ZA10;Nestle (South Africa) (Proprietary) Limited;0179;ZA PL Harrismith
2. AOA;Eastern&South Africa Region ESAR;South Africa;ZA10;Nestle (South Africa) (Proprietary) Limited;0181;ZA PL Mossel Bay
2. AOA;Eastern&South Africa Region ESAR;Zimbabwe;ZW10;Nestle Zimbabwe (Private) Limited (0030);0185;ZW PL Harare
1. Europe;Austria;Austria;AT10;Nestle Oesterreich GmbH;0186;AT PL Linz NAT
2. AOA;South Asia;Bangladesh;BD10;Nestle Bangladesh Limited;0188;BD PL Sreepur
2. AOA;Philippines;Philippines;PH15;Nestle Philippines Inc.;0189;PH PL Cabuyao Factory
2. AOA;Philippines;Philippines;PH15;Nestle Philippines Inc.;0190;PH PL Cagayan de Oro Factory
2. AOA;Philippines;Philippines;PH15;Nestle Philippines Inc.;0191;PH PL Lipa NPI Factory
2. AOA;Middle East & North Africa(MENA);Iran;IR10;Nestle Iran (Private Joint Stock Company);0196;IR HO Theran
2. AOA;Middle East & North Africa(MENA);Iran;IR10;Nestle Iran (Private Joint Stock Company);0197;IR PL Qazvin
1. Europe;Türkiye & Israel;Türkiye;TR10;Nestle Turkiye Gida Sanayi A.S.;0199;TR HO Istanbul
1. Europe;Türkiye & Israel;Turkiye;TR10;Nestle Turkiye Gida Sanayi A.S.;0202;TR PL  Turkey Karacabey Factor
3. Latin America;Mexico;Mexico;MX10;Nestle Mexico, S.A. De C.V.;0204;MX PL Chiapa de Corzo
3. Latin America;Mexico;Mexico;MX10;Nestle Mexico, S.A. De C.V.;0205;MX PL Coatepec
3. Latin America;Mexico;Mexico;MX10;Nestle Mexico, S.A. De C.V.;0206;MX PL Lagos de Moreno-Lacteos
CPW;3. CPW Latin America;CPW Mexico;MX14;Cpw Mexico, S. De R.L. De C.V.;0208;MX PL Lagos de Moreno-CPW
3. Latin America;Mexico;Mexico;MX10;Nestle Mexico, S.A. De C.V.;0210;MX PL Ocotlan
